[1]	32	80	194	162	275	84	152	88	265	122
[2]	114	52	84	117	70	7	184	13	95	31
[3]	193	210	67	84	116	117	6	280	40	206
[4]	64	100	118	262	166	103	88	90	91	31
[5]	32	65	84	117	277	7	71	152	157	174
[6]	288	51	115	100	244	118	72	153	93	47
[7]	114	83	4	245	199	266	43	267	44	14
[1,3]	208	273	20	149	135	7	120	217	188	157
[1,4]	83	36	164	196	228	214	281	10	107	111
[2,3]	80	162	275	148	167	104	217	89	125	270
[1,5]	81	210	18	146	85	9	58	44	63	287
[2,4]	288	98	115	228	118	231	88	56	284	111
[1,6]	98	83	148	84	134	106	91	283	27	79
[2,5]	81	83	36	20	261	171	43	188	29	223
[1,7]	33	20	117	229	261	279	10	270	14	159
[2,6]	225	1	129	228	10	219	44	93	221	142
[3,6]	84	22	166	23	280	76	172	190	271	15
[2,7]	32	81	99	149	5	85	135	172	30	63
[3,7]	1	116	119	265	58	171	44	28	95	207
[4,6]	226	242	196	103	281	90	237	61	286	31
[4,7]	160	180	246	167	216	217	122	91	253	127
[5,6]	17	52	148	247	231	217	122	107	29	206
[5,7]	275	37	6	134	7	104	56	75	283	14
[1,3,6]	114	195	180	165	262	167	56	153	43	125
[1,3,7]	193	33	194	212	183	152	121	186	157	159
[1,4,6]	64	65	19	198	118	185	266	123	92	95
[2,3,6]	160	177	35	245	134	199	40	111	79	159
[1,4,7]	2	195	165	88	267	284	270	158	271	223
[1,5,6]	193	162	98	70	246	216	41	25	45	31
[2,3,7]	210	20	229	117	55	10	27	188	236	189
[2,4,6]	288	161	51	100	4	214	72	62	206	47
[1,5,7]	176	114	212	5	182	278	135	120	121	138
[2,4,7]	35	84	245	71	199	24	157	93	287	159
[2,5,6]	64	210	196	100	150	279	280	91	95	271
[2,5,7]	272	33	1	195	4	39	183	266	27	45
